,gene_ids,feature_types,genome,n_cells,n_counts,gene_name,n_droplets
CEP89,ENSG00000121289,Gene Expression,GRCh38,411,437.0,CEP89,411
MYO7A,ENSG00000137474,Gene Expression,GRCh38,446,509.0,MYO7A,446
DCAF6,ENSG00000143164,Gene Expression,GRCh38,1605,2093.0,DCAF6,1605
Z98885.2,ENSG00000260613,Gene Expression,GRCh38,15,15.0,Z98885.2,15
NUCB1,ENSG00000104805,Gene Expression,GRCh38,3145,5256.0,NUCB1,3145
RAB5C,ENSG00000108774,Gene Expression,GRCh38,2696,4515.0,RAB5C,2696
PCDH18,ENSG00000189184,Gene Expression,GRCh38,5,5.0,PCDH18,5
TIAM1,ENSG00000156299,Gene Expression,GRCh38,2746,4807.0,TIAM1,2746
ASB3,ENSG00000115239,Gene Expression,GRCh38,223,236.0,ASB3,223
ARHGAP44,ENSG00000006740,Gene Expression,GRCh38,146,157.0,ARHGAP44,146
AC020910.4,ENSG00000274104,Gene Expression,GRCh38,60,67.0,AC020910.4,60
SNRPB2,ENSG00000125870,Gene Expression,GRCh38,2628,4216.0,SNRPB2,2628
CTAGE1,ENSG00000212710,Gene Expression,GRCh38,32,33.0,CTAGE1,32
LGALSL,ENSG00000119862,Gene Expression,GRCh38,342,490.0,LGALSL,342
FCGR2A,ENSG00000143226,Gene Expression,GRCh38,3,3.0,FCGR2A,3
AC010173.1,ENSG00000258101,Gene Expression,GRCh38,45,46.0,AC010173.1,45
AC021483.2,ENSG00000261229,Gene Expression,GRCh38,5,5.0,AC021483.2,5
RNF157,ENSG00000141576,Gene Expression,GRCh38,66,69.0,RNF157,66
BACE2-IT1,ENSG00000224388,Gene Expression,GRCh38,5,6.0,BACE2-IT1,5
SH3TC1,ENSG00000125089,Gene Expression,GRCh38,538,579.0,SH3TC1,538
EPHX3,ENSG00000105131,Gene Expression,GRCh38,28,28.0,EPHX3,28
EDDM13,ENSG00000267710,Gene Expression,GRCh38,8,8.0,EDDM13,8
SNX2,ENSG00000205302,Gene Expression,GRCh38,2836,4710.0,SNX2,2836
SPAAR,ENSG00000235387,Gene Expression,GRCh38,4,4.0,SPAAR,4
AC097634.1,ENSG00000270562,Gene Expression,GRCh38,4,4.0,AC097634.1,4
CLDN20,ENSG00000171217,Gene Expression,GRCh38,4,4.0,CLDN20,4
PIGF,ENSG00000151665,Gene Expression,GRCh38,1394,1832.0,PIGF,1394
LINC01553,ENSG00000235931,Gene Expression,GRCh38,11,13.0,LINC01553,11
AC106739.2,ENSG00000274092,Gene Expression,GRCh38,4,4.0,AC106739.2,4
ST18,ENSG00000147488,Gene Expression,GRCh38,54,56.0,ST18,54
ATXN7L3,ENSG00000087152,Gene Expression,GRCh38,941,1058.0,ATXN7L3,941
ZNF529,ENSG00000186020,Gene Expression,GRCh38,304,314.0,ZNF529,304
MRPL42,ENSG00000198015,Gene Expression,GRCh38,1858,2639.0,MRPL42,1858
NUTM2E,ENSG00000228570,Gene Expression,GRCh38,3,3.0,NUTM2E,3
PROCA1,ENSG00000167525,Gene Expression,GRCh38,73,76.0,PROCA1,73
TMEM56,ENSG00000152078,Gene Expression,GRCh38,60,62.0,TMEM56,60
AL390037.1,ENSG00000277901,Gene Expression,GRCh38,3,3.0,AL390037.1,3
AL358781.2,ENSG00000230289,Gene Expression,GRCh38,30,34.0,AL358781.2,30
SVOPL,ENSG00000157703,Gene Expression,GRCh38,16,16.0,SVOPL,16
AC135371.1,ENSG00000226434,Gene Expression,GRCh38,15,15.0,AC135371.1,15
AHR,ENSG00000106546,Gene Expression,GRCh38,410,438.0,AHR,410
TMEM9,ENSG00000116857,Gene Expression,GRCh38,1263,1656.0,TMEM9,1263
AC107884.2,ENSG00000254864,Gene Expression,GRCh38,13,13.0,AC107884.2,13
EPS8,ENSG00000151491,Gene Expression,GRCh38,426,496.0,EPS8,426
SNRPD3,ENSG00000100028,Gene Expression,GRCh38,3823,7440.0,SNRPD3,3823
CCDC9B,ENSG00000188549,Gene Expression,GRCh38,4,4.0,CCDC9B,4
MAFIP,ENSG00000274847,Gene Expression,GRCh38,86,86.0,MAFIP,86
COLQ,ENSG00000206561,Gene Expression,GRCh38,160,183.0,COLQ,160
NME1,ENSG00000239672,Gene Expression,GRCh38,1255,1679.0,NME1,1255
SIRT1,ENSG00000096717,Gene Expression,GRCh38,517,544.0,SIRT1,517
THAP3,ENSG00000041988,Gene Expression,GRCh38,305,327.0,THAP3,305
PSMD6-AS2,ENSG00000239653,Gene Expression,GRCh38,67,67.0,PSMD6-AS2,67
E2F5,ENSG00000133740,Gene Expression,GRCh38,160,167.0,E2F5,160
PCDH10,ENSG00000138650,Gene Expression,GRCh38,44,53.0,PCDH10,44
COG3,ENSG00000136152,Gene Expression,GRCh38,1865,2699.0,COG3,1865
AC092611.1,ENSG00000251455,Gene Expression,GRCh38,34,35.0,AC092611.1,34
TSSK3,ENSG00000162526,Gene Expression,GRCh38,11,11.0,TSSK3,11
CASC9,ENSG00000249395,Gene Expression,GRCh38,71,72.0,CASC9,71
TMEM30B,ENSG00000182107,Gene Expression,GRCh38,748,884.0,TMEM30B,748
AC106897.1,ENSG00000249679,Gene Expression,GRCh38,26,26.0,AC106897.1,26
CXCR5,ENSG00000160683,Gene Expression,GRCh38,59,59.0,CXCR5,59
LINC01934,ENSG00000234663,Gene Expression,GRCh38,8,9.0,LINC01934,8
OR52H1,ENSG00000181616,Gene Expression,GRCh38,6,6.0,OR52H1,6
ENOX1,ENSG00000120658,Gene Expression,GRCh38,4,4.0,ENOX1,4
COCH,ENSG00000100473,Gene Expression,GRCh38,64,64.0,COCH,64
AP001372.3,ENSG00000254928,Gene Expression,GRCh38,7,7.0,AP001372.3,7
MCCC2,ENSG00000131844,Gene Expression,GRCh38,966,1132.0,MCCC2,966
ZBTB11-AS1,ENSG00000256628,Gene Expression,GRCh38,96,101.0,ZBTB11-AS1,96
Z69666.1,ENSG00000228779,Gene Expression,GRCh38,6,6.0,Z69666.1,6
LIMK2,ENSG00000182541,Gene Expression,GRCh38,1917,2605.0,LIMK2,1917
UTS2B,ENSG00000188958,Gene Expression,GRCh38,6,6.0,UTS2B,6
TUBGCP2,ENSG00000130640,Gene Expression,GRCh38,1425,1744.0,TUBGCP2,1425
POLR2H,ENSG00000163882,Gene Expression,GRCh38,2632,4019.0,POLR2H,2632
RNF4,ENSG00000063978,Gene Expression,GRCh38,1237,1454.0,RNF4,1237
C7orf50,ENSG00000146540,Gene Expression,GRCh38,1590,2165.0,C7orf50,1590
LYPD8,ENSG00000259823,Gene Expression,GRCh38,29,29.0,LYPD8,29
IGF2BP2,ENSG00000073792,Gene Expression,GRCh38,1520,2038.0,IGF2BP2,1520
STX7,ENSG00000079950,Gene Expression,GRCh38,2516,3794.0,STX7,2516
PRR4,ENSG00000111215,Gene Expression,GRCh38,9,9.0,PRR4,9
RASA1,ENSG00000145715,Gene Expression,GRCh38,5176,13134.0,RASA1,5176
ANKRD16,ENSG00000134461,Gene Expression,GRCh38,159,169.0,ANKRD16,159
NFATC4,ENSG00000100968,Gene Expression,GRCh38,14,14.0,NFATC4,14
CTF1,ENSG00000150281,Gene Expression,GRCh38,20,21.0,CTF1,20
NFIL3,ENSG00000165030,Gene Expression,GRCh38,2344,3890.0,NFIL3,2344
LYSMD3,ENSG00000176018,Gene Expression,GRCh38,1510,1911.0,LYSMD3,1510
RPL31,ENSG00000071082,Gene Expression,GRCh38,7341,42723.0,RPL31,7341
UBLCP1,ENSG00000164332,Gene Expression,GRCh38,984,1221.0,UBLCP1,984
OARD1,ENSG00000124596,Gene Expression,GRCh38,1246,1616.0,OARD1,1246
AP002478.1,ENSG00000266401,Gene Expression,GRCh38,27,28.0,AP002478.1,27
PDCL3,ENSG00000115539,Gene Expression,GRCh38,1248,1638.0,PDCL3,1248
PLEKHA3,ENSG00000116095,Gene Expression,GRCh38,1132,1417.0,PLEKHA3,1132
LINC01203,ENSG00000226985,Gene Expression,GRCh38,3,3.0,LINC01203,3
NLK,ENSG00000087095,Gene Expression,GRCh38,434,472.0,NLK,434
AC008050.1,ENSG00000259124,Gene Expression,GRCh38,3,3.0,AC008050.1,3
DEPDC5,ENSG00000100150,Gene Expression,GRCh38,305,322.0,DEPDC5,305
STARD3,ENSG00000131748,Gene Expression,GRCh38,891,1013.0,STARD3,891
DNAJC1,ENSG00000136770,Gene Expression,GRCh38,2952,5938.0,DNAJC1,2952
AL023584.2,ENSG00000237851,Gene Expression,GRCh38,16,16.0,AL023584.2,16
HMOX2,ENSG00000103415,Gene Expression,GRCh38,1434,1967.0,HMOX2,1434
CDKN2C,ENSG00000123080,Gene Expression,GRCh38,28,28.0,CDKN2C,28
LPCAT4,ENSG00000176454,Gene Expression,GRCh38,1134,1423.0,LPCAT4,1134
SDHAF4,ENSG00000154079,Gene Expression,GRCh38,309,333.0,SDHAF4,309
PRDX4,ENSG00000123131,Gene Expression,GRCh38,4560,18983.0,PRDX4,4560
PNPLA2,ENSG00000177666,Gene Expression,GRCh38,1466,1932.0,PNPLA2,1466
AC092354.1,ENSG00000272354,Gene Expression,GRCh38,5,5.0,AC092354.1,5
LZTS3,ENSG00000088899,Gene Expression,GRCh38,211,222.0,LZTS3,211
AC007383.2,ENSG00000227946,Gene Expression,GRCh38,22,22.0,AC007383.2,22
AC139530.1,ENSG00000262049,Gene Expression,GRCh38,149,153.0,AC139530.1,149
AL049840.1,ENSG00000246451,Gene Expression,GRCh38,198,204.0,AL049840.1,198
AC087521.2,ENSG00000246250,Gene Expression,GRCh38,8,8.0,AC087521.2,8
WISP3,ENSG00000112761,Gene Expression,GRCh38,112,117.0,WISP3,112
AC139795.2,ENSG00000247679,Gene Expression,GRCh38,26,30.0,AC139795.2,26
STT3B,ENSG00000163527,Gene Expression,GRCh38,4047,8855.0,STT3B,4047
HIST1H2BN,ENSG00000233822,Gene Expression,GRCh38,337,400.0,HIST1H2BN,337
EPHA10,ENSG00000183317,Gene Expression,GRCh38,3,3.0,EPHA10,3
MIDN,ENSG00000167470,Gene Expression,GRCh38,3698,8299.0,MIDN,3698
FAR1,ENSG00000197601,Gene Expression,GRCh38,1716,2324.0,FAR1,1716
DCTN6,ENSG00000104671,Gene Expression,GRCh38,1902,2593.0,DCTN6,1902
FBXO21,ENSG00000135108,Gene Expression,GRCh38,1640,2140.0,FBXO21,1640
PHEX,ENSG00000102174,Gene Expression,GRCh38,7,7.0,PHEX,7
MANSC4,ENSG00000205693,Gene Expression,GRCh38,4,4.0,MANSC4,4
MANBA,ENSG00000109323,Gene Expression,GRCh38,637,720.0,MANBA,637
MBLAC1,ENSG00000214309,Gene Expression,GRCh38,59,61.0,MBLAC1,59
AL391152.1,ENSG00000258592,Gene Expression,GRCh38,48,50.0,AL391152.1,48
CASKIN2,ENSG00000177303,Gene Expression,GRCh38,115,122.0,CASKIN2,115
BABAM1,ENSG00000105393,Gene Expression,GRCh38,2045,2832.0,BABAM1,2045
WEE2-AS1,ENSG00000228775,Gene Expression,GRCh38,21,22.0,WEE2-AS1,21
TNKS2,ENSG00000107854,Gene Expression,GRCh38,3645,6883.0,TNKS2,3645
ARMC8,ENSG00000114098,Gene Expression,GRCh38,1263,1498.0,ARMC8,1263
SPRR2G,ENSG00000159516,Gene Expression,GRCh38,85,105.0,SPRR2G,85
LINC01191,ENSG00000234199,Gene Expression,GRCh38,25,27.0,LINC01191,25
MAD1L1,ENSG00000002822,Gene Expression,GRCh38,314,334.0,MAD1L1,314
NCEH1,ENSG00000144959,Gene Expression,GRCh38,845,1083.0,NCEH1,845
BUD31,ENSG00000106245,Gene Expression,GRCh38,2713,4408.0,BUD31,2713
LRR1,ENSG00000165501,Gene Expression,GRCh38,241,251.0,LRR1,241
HIST1H1B,ENSG00000184357,Gene Expression,GRCh38,17,22.0,HIST1H1B,17
KRI1,ENSG00000129347,Gene Expression,GRCh38,627,697.0,KRI1,627
POFUT2,ENSG00000186866,Gene Expression,GRCh38,887,1030.0,POFUT2,887
C9orf24,ENSG00000164972,Gene Expression,GRCh38,11,11.0,C9orf24,11
MTHFD2,ENSG00000065911,Gene Expression,GRCh38,2135,3503.0,MTHFD2,2135
TRIM60,ENSG00000176979,Gene Expression,GRCh38,189,200.0,TRIM60,189
EXTL3,ENSG00000012232,Gene Expression,GRCh38,1594,2573.0,EXTL3,1594
CTSW,ENSG00000172543,Gene Expression,GRCh38,3,3.0,CTSW,3
CYB5R2,ENSG00000166394,Gene Expression,GRCh38,731,844.0,CYB5R2,731
C1QTNF1,ENSG00000173918,Gene Expression,GRCh38,1617,2275.0,C1QTNF1,1617
CTDSP2,ENSG00000175215,Gene Expression,GRCh38,1175,1426.0,CTDSP2,1175
NOL11,ENSG00000130935,Gene Expression,GRCh38,960,1134.0,NOL11,960
LUZP1,ENSG00000169641,Gene Expression,GRCh38,2028,2916.0,LUZP1,2028
SMAD5,ENSG00000113658,Gene Expression,GRCh38,1495,1932.0,SMAD5,1495
FXR1,ENSG00000114416,Gene Expression,GRCh38,2975,4668.0,FXR1,2975
DAO,ENSG00000110887,Gene Expression,GRCh38,4,4.0,DAO,4
AP003059.1,ENSG00000254731,Gene Expression,GRCh38,3,3.0,AP003059.1,3
TBCCD1,ENSG00000113838,Gene Expression,GRCh38,130,134.0,TBCCD1,130
ARHGAP40,ENSG00000124143,Gene Expression,GRCh38,35,42.0,ARHGAP40,35
AC016831.1,ENSG00000226380,Gene Expression,GRCh38,179,189.0,AC016831.1,179
LRRC8B,ENSG00000197147,Gene Expression,GRCh38,634,740.0,LRRC8B,634
AC024592.3,ENSG00000267740,Gene Expression,GRCh38,10,10.0,AC024592.3,10
BTBD6,ENSG00000184887,Gene Expression,GRCh38,563,637.0,BTBD6,563
CYB5A,ENSG00000166347,Gene Expression,GRCh38,3966,12521.0,CYB5A,3966
USP50,ENSG00000170236,Gene Expression,GRCh38,12,12.0,USP50,12
AP006623.1,ENSG00000250397,Gene Expression,GRCh38,32,32.0,AP006623.1,32
CALHM3,ENSG00000183128,Gene Expression,GRCh38,202,230.0,CALHM3,202
AC009495.3,ENSG00000235192,Gene Expression,GRCh38,31,32.0,AC009495.3,31
ADGRG5,ENSG00000159618,Gene Expression,GRCh38,6,6.0,ADGRG5,6
BAK1,ENSG00000030110,Gene Expression,GRCh38,585,674.0,BAK1,585
SLC35D2,ENSG00000130958,Gene Expression,GRCh38,1728,2386.0,SLC35D2,1728
PNN,ENSG00000100941,Gene Expression,GRCh38,2605,4068.0,PNN,2605
CIAPIN1,ENSG00000005194,Gene Expression,GRCh38,1187,1484.0,CIAPIN1,1187
AL117329.1,ENSG00000224271,Gene Expression,GRCh38,12,12.0,AL117329.1,12
ZCCHC7,ENSG00000147905,Gene Expression,GRCh38,1104,1342.0,ZCCHC7,1104
LINC02435,ENSG00000251526,Gene Expression,GRCh38,36,37.0,LINC02435,36
ELDR,ENSG00000280890,Gene Expression,GRCh38,11,12.0,ELDR,11
GNL3L,ENSG00000130119,Gene Expression,GRCh38,512,575.0,GNL3L,512
AC007370.2,ENSG00000250371,Gene Expression,GRCh38,4,4.0,AC007370.2,4
RAG1,ENSG00000166349,Gene Expression,GRCh38,32,33.0,RAG1,32
APMAP,ENSG00000101474,Gene Expression,GRCh38,765,1064.0,APMAP,765
ELP2,ENSG00000134759,Gene Expression,GRCh38,1310,1523.0,ELP2,1310
IGSF3,ENSG00000143061,Gene Expression,GRCh38,2823,5476.0,IGSF3,2823
ALG1L2,ENSG00000251287,Gene Expression,GRCh38,20,20.0,ALG1L2,20
JARID2-AS1,ENSG00000235488,Gene Expression,GRCh38,6,6.0,JARID2-AS1,6
AC114689.3,ENSG00000265533,Gene Expression,GRCh38,11,11.0,AC114689.3,11
INPP4A,ENSG00000040933,Gene Expression,GRCh38,1255,1523.0,INPP4A,1255
CALN1,ENSG00000183166,Gene Expression,GRCh38,3,3.0,CALN1,3
VEGFA,ENSG00000112715,Gene Expression,GRCh38,1365,2143.0,VEGFA,1365
NUMBL,ENSG00000105245,Gene Expression,GRCh38,126,129.0,NUMBL,126
CTTNBP2NL,ENSG00000143079,Gene Expression,GRCh38,1167,1406.0,CTTNBP2NL,1167
CCND3,ENSG00000112576,Gene Expression,GRCh38,3047,5917.0,CCND3,3047
AC023481.1,ENSG00000231401,Gene Expression,GRCh38,8,8.0,AC023481.1,8
AC128687.2,ENSG00000273394,Gene Expression,GRCh38,5,5.0,AC128687.2,5
SEMA3D,ENSG00000153993,Gene Expression,GRCh38,18,19.0,SEMA3D,18
AC012615.2,ENSG00000267007,Gene Expression,GRCh38,134,143.0,AC012615.2,134
MEN1,ENSG00000133895,Gene Expression,GRCh38,518,558.0,MEN1,518
CAMLG,ENSG00000164615,Gene Expression,GRCh38,1549,2128.0,CAMLG,1549
ADGRL1,ENSG00000072071,Gene Expression,GRCh38,79,81.0,ADGRL1,79
AC026167.1,ENSG00000226022,Gene Expression,GRCh38,16,16.0,AC026167.1,16
WRNIP1,ENSG00000124535,Gene Expression,GRCh38,868,1006.0,WRNIP1,868
ZNF81,ENSG00000197779,Gene Expression,GRCh38,89,93.0,ZNF81,89
KRT81,ENSG00000205426,Gene Expression,GRCh38,69,99.0,KRT81,69
C12orf56,ENSG00000185306,Gene Expression,GRCh38,222,232.0,C12orf56,222
PIGV,ENSG00000060642,Gene Expression,GRCh38,415,434.0,PIGV,415
ALPP,ENSG00000163283,Gene Expression,GRCh38,221,251.0,ALPP,221
AC016245.1,ENSG00000262833,Gene Expression,GRCh38,3,3.0,AC016245.1,3
FAM32A,ENSG00000105058,Gene Expression,GRCh38,2243,3115.0,FAM32A,2243
TMCO4,ENSG00000162542,Gene Expression,GRCh38,1350,1866.0,TMCO4,1350
LINC01895,ENSG00000259256,Gene Expression,GRCh38,10,10.0,LINC01895,10
AL592430.2,ENSG00000282121,Gene Expression,GRCh38,6,6.0,AL592430.2,6
AC006942.1,ENSG00000269194,Gene Expression,GRCh38,9,9.0,AC006942.1,9
SRP19,ENSG00000153037,Gene Expression,GRCh38,2550,4026.0,SRP19,2550
GRIA3,ENSG00000125675,Gene Expression,GRCh38,24,24.0,GRIA3,24
TC2N,ENSG00000165929,Gene Expression,GRCh38,706,772.0,TC2N,706
AC109809.1,ENSG00000275995,Gene Expression,GRCh38,5,5.0,AC109809.1,5
APOPT1,ENSG00000256053,Gene Expression,GRCh38,1203,1562.0,APOPT1,1203
TSHZ2,ENSG00000182463,Gene Expression,GRCh38,77,82.0,TSHZ2,77
AL109761.1,ENSG00000244676,Gene Expression,GRCh38,28,28.0,AL109761.1,28
ALG13,ENSG00000101901,Gene Expression,GRCh38,927,1061.0,ALG13,927
RHOU,ENSG00000116574,Gene Expression,GRCh38,1529,2337.0,RHOU,1529
AL136418.1,ENSG00000257831,Gene Expression,GRCh38,30,30.0,AL136418.1,30
SAMD15,ENSG00000100583,Gene Expression,GRCh38,24,24.0,SAMD15,24
DNM1L,ENSG00000087470,Gene Expression,GRCh38,1734,2516.0,DNM1L,1734
HES7,ENSG00000179111,Gene Expression,GRCh38,5,5.0,HES7,5
UGDH,ENSG00000109814,Gene Expression,GRCh38,1989,2975.0,UGDH,1989
DIAPH3,ENSG00000139734,Gene Expression,GRCh38,326,453.0,DIAPH3,326
AL445985.1,ENSG00000228741,Gene Expression,GRCh38,4,4.0,AL445985.1,4
GAS2L1,ENSG00000185340,Gene Expression,GRCh38,1030,1232.0,GAS2L1,1030
CNIH4,ENSG00000143771,Gene Expression,GRCh38,2487,4152.0,CNIH4,2487
DMD,ENSG00000198947,Gene Expression,GRCh38,513,561.0,DMD,513
CARNMT1,ENSG00000156017,Gene Expression,GRCh38,947,1116.0,CARNMT1,947
SYCE2,ENSG00000161860,Gene Expression,GRCh38,3,3.0,SYCE2,3
UQCR11,ENSG00000127540,Gene Expression,GRCh38,6389,29013.0,UQCR11,6389
VMAC,ENSG00000187650,Gene Expression,GRCh38,241,252.0,VMAC,241
MFSD4B,ENSG00000173214,Gene Expression,GRCh38,711,798.0,MFSD4B,711
HIST1H2BK,ENSG00000197903,Gene Expression,GRCh38,274,284.0,HIST1H2BK,274
RTN4,ENSG00000115310,Gene Expression,GRCh38,5122,18761.0,RTN4,5122
SRF,ENSG00000112658,Gene Expression,GRCh38,1056,1278.0,SRF,1056
AC108002.1,ENSG00000253741,Gene Expression,GRCh38,34,34.0,AC108002.1,34
ANKRD49,ENSG00000168876,Gene Expression,GRCh38,691,768.0,ANKRD49,691
AC025259.3,ENSG00000259884,Gene Expression,GRCh38,45,49.0,AC025259.3,45
TSNARE1,ENSG00000171045,Gene Expression,GRCh38,42,42.0,TSNARE1,42
RRAGD,ENSG00000025039,Gene Expression,GRCh38,156,173.0,RRAGD,156
DSG2-AS1,ENSG00000264859,Gene Expression,GRCh38,16,16.0,DSG2-AS1,16
BAIAP2-DT,ENSG00000226137,Gene Expression,GRCh38,72,76.0,BAIAP2-DT,72
CST5,ENSG00000170367,Gene Expression,GRCh38,7,9.0,CST5,7
ZNF561,ENSG00000171469,Gene Expression,GRCh38,418,452.0,ZNF561,418
LINC01589,ENSG00000238120,Gene Expression,GRCh38,3,4.0,LINC01589,3
EMC3,ENSG00000125037,Gene Expression,GRCh38,1279,1620.0,EMC3,1279
C14orf132,ENSG00000227051,Gene Expression,GRCh38,137,165.0,C14orf132,137
GNAL,ENSG00000141404,Gene Expression,GRCh38,110,114.0,GNAL,110
WASHC4,ENSG00000136051,Gene Expression,GRCh38,2037,2745.0,WASHC4,2037
MTPAP,ENSG00000107951,Gene Expression,GRCh38,408,444.0,MTPAP,408
CTSH,ENSG00000103811,Gene Expression,GRCh38,1513,2254.0,CTSH,1513
PEX11B,ENSG00000131779,Gene Expression,GRCh38,605,677.0,PEX11B,605
SLC25A51,ENSG00000122696,Gene Expression,GRCh38,382,410.0,SLC25A51,382
MAN1A1,ENSG00000111885,Gene Expression,GRCh38,592,705.0,MAN1A1,592
ELK1,ENSG00000126767,Gene Expression,GRCh38,756,963.0,ELK1,756
NBEA,ENSG00000172915,Gene Expression,GRCh38,5,6.0,NBEA,5
C6orf141,ENSG00000197261,Gene Expression,GRCh38,532,619.0,C6orf141,532
PRELID3A,ENSG00000141391,Gene Expression,GRCh38,14,15.0,PRELID3A,14
RASGEF1C,ENSG00000146090,Gene Expression,GRCh38,61,65.0,RASGEF1C,61
MYOM1,ENSG00000101605,Gene Expression,GRCh38,88,92.0,MYOM1,88
P2RX7,ENSG00000089041,Gene Expression,GRCh38,51,53.0,P2RX7,51
SYCE1L,ENSG00000205078,Gene Expression,GRCh38,253,274.0,SYCE1L,253
SP5,ENSG00000204335,Gene Expression,GRCh38,3,3.0,SP5,3
AC084018.2,ENSG00000274292,Gene Expression,GRCh38,34,34.0,AC084018.2,34
ATAD1,ENSG00000138138,Gene Expression,GRCh38,1594,2068.0,ATAD1,1594
CYP51A1-AS1,ENSG00000188693,Gene Expression,GRCh38,16,16.0,CYP51A1-AS1,16
DPYSL5,ENSG00000157851,Gene Expression,GRCh38,3,3.0,DPYSL5,3
AL354979.1,ENSG00000231149,Gene Expression,GRCh38,11,11.0,AL354979.1,11
MED15,ENSG00000099917,Gene Expression,GRCh38,1955,2532.0,MED15,1955
SEC14L4,ENSG00000133488,Gene Expression,GRCh38,6,6.0,SEC14L4,6
AC137590.1,ENSG00000257000,Gene Expression,GRCh38,3,3.0,AC137590.1,3
RPS9,ENSG00000170889,Gene Expression,GRCh38,7739,55284.0,RPS9,7739
ODF3B,ENSG00000177989,Gene Expression,GRCh38,717,810.0,ODF3B,717
BLCAP,ENSG00000166619,Gene Expression,GRCh38,2902,5258.0,BLCAP,2902
SYNJ2,ENSG00000078269,Gene Expression,GRCh38,781,1044.0,SYNJ2,781
PLK2,ENSG00000145632,Gene Expression,GRCh38,3959,8660.0,PLK2,3959
ARHGEF37,ENSG00000183111,Gene Expression,GRCh38,103,106.0,ARHGEF37,103
AC068756.1,ENSG00000242828,Gene Expression,GRCh38,21,21.0,AC068756.1,21
BSPRY,ENSG00000119411,Gene Expression,GRCh38,138,145.0,BSPRY,138
ADAMTS15,ENSG00000166106,Gene Expression,GRCh38,3,3.0,ADAMTS15,3
AC025822.1,ENSG00000227101,Gene Expression,GRCh38,8,9.0,AC025822.1,8
AL442071.1,ENSG00000226438,Gene Expression,GRCh38,3,3.0,AL442071.1,3
USP42,ENSG00000106346,Gene Expression,GRCh38,698,798.0,USP42,698
TSPAN8,ENSG00000127324,Gene Expression,GRCh38,87,88.0,TSPAN8,87
AFDN-DT,ENSG00000198221,Gene Expression,GRCh38,26,27.0,AFDN-DT,26
AL031768.1,ENSG00000272465,Gene Expression,GRCh38,3,3.0,AL031768.1,3
AC091948.1,ENSG00000247199,Gene Expression,GRCh38,4,4.0,AC091948.1,4
GEMIN8,ENSG00000046647,Gene Expression,GRCh38,217,223.0,GEMIN8,217
MALAT1,ENSG00000251562,Gene Expression,GRCh38,9827,1105333.0,MALAT1,9827
ZNF395,ENSG00000186918,Gene Expression,GRCh38,1793,2688.0,ZNF395,1793
EHBP1L1,ENSG00000173442,Gene Expression,GRCh38,221,238.0,EHBP1L1,221
BICDL2,ENSG00000162069,Gene Expression,GRCh38,404,434.0,BICDL2,404
RNASEH1,ENSG00000171865,Gene Expression,GRCh38,872,1065.0,RNASEH1,872
FAM85B,ENSG00000253893,Gene Expression,GRCh38,3,3.0,FAM85B,3
CHMP1A,ENSG00000131165,Gene Expression,GRCh38,1704,2111.0,CHMP1A,1704
AC003681.1,ENSG00000279159,Gene Expression,GRCh38,472,535.0,AC003681.1,472
GTF2H2C,ENSG00000183474,Gene Expression,GRCh38,146,147.0,GTF2H2C,146
TNPO1,ENSG00000083312,Gene Expression,GRCh38,2455,3739.0,TNPO1,2455
RASD1,ENSG00000108551,Gene Expression,GRCh38,138,161.0,RASD1,138
PSMD12,ENSG00000197170,Gene Expression,GRCh38,1898,2573.0,PSMD12,1898
KCNE1,ENSG00000180509,Gene Expression,GRCh38,16,17.0,KCNE1,16
ZDHHC11,ENSG00000188818,Gene Expression,GRCh38,13,13.0,ZDHHC11,13
CTR9,ENSG00000198730,Gene Expression,GRCh38,1615,2078.0,CTR9,1615
HSH2D,ENSG00000196684,Gene Expression,GRCh38,472,537.0,HSH2D,472
PSMA4,ENSG00000041357,Gene Expression,GRCh38,3479,6665.0,PSMA4,3479
MMP15,ENSG00000102996,Gene Expression,GRCh38,3165,12953.0,MMP15,3165
DYNLL2,ENSG00000264364,Gene Expression,GRCh38,3678,6867.0,DYNLL2,3678
GTF2I,ENSG00000263001,Gene Expression,GRCh38,2899,5181.0,GTF2I,2899
AC009509.4,ENSG00000276261,Gene Expression,GRCh38,13,13.0,AC009509.4,13
LINC02328,ENSG00000258733,Gene Expression,GRCh38,5,5.0,LINC02328,5
POP7,ENSG00000172336,Gene Expression,GRCh38,1555,2170.0,POP7,1555
CEP76,ENSG00000101624,Gene Expression,GRCh38,204,212.0,CEP76,204
ASAP1,ENSG00000153317,Gene Expression,GRCh38,3550,7473.0,ASAP1,3550
NCALD,ENSG00000104490,Gene Expression,GRCh38,571,656.0,NCALD,571
GRM3,ENSG00000198822,Gene Expression,GRCh38,23,23.0,GRM3,23
LEF1,ENSG00000138795,Gene Expression,GRCh38,3,3.0,LEF1,3
DHRS12,ENSG00000102796,Gene Expression,GRCh38,511,559.0,DHRS12,511
AC104590.1,ENSG00000259251,Gene Expression,GRCh38,6,6.0,AC104590.1,6
AC135178.5,ENSG00000269947,Gene Expression,GRCh38,20,21.0,AC135178.5,20
AC106744.1,ENSG00000249174,Gene Expression,GRCh38,3,3.0,AC106744.1,3
TEX10,ENSG00000136891,Gene Expression,GRCh38,1054,1226.0,TEX10,1054
KIAA2026,ENSG00000183354,Gene Expression,GRCh38,1150,1332.0,KIAA2026,1150
