,gene_ids,feature_types,genome,n_counts,gene_name,n_droplets
PIGZ,ENSG00000119227,Gene Expression,GRCh38,1.0,PIGZ,1
RHBDL2,ENSG00000158315,Gene Expression,GRCh38,8.0,RHBDL2,8
AP001178.3,ENSG00000266456,Gene Expression,GRCh38,1.0,AP001178.3,1
AP001893.1,ENSG00000254694,Gene Expression,GRCh38,0.0,AP001893.1,0
AP3M2,ENSG00000070718,Gene Expression,GRCh38,265.0,AP3M2,259
PRPF19,ENSG00000110107,Gene Expression,GRCh38,1366.0,PRPF19,1323
ZNF747,ENSG00000169955,Gene Expression,GRCh38,26.0,ZNF747,25
AAK1,ENSG00000115977,Gene Expression,GRCh38,7466.0,AAK1,6784
SSFA2,ENSG00000138434,Gene Expression,GRCh38,1898.0,SSFA2,1824
TNFRSF10A-AS1,ENSG00000253930,Gene Expression,GRCh38,1.0,TNFRSF10A-AS1,1
PRKAR2A-AS1,ENSG00000224424,Gene Expression,GRCh38,13.0,PRKAR2A-AS1,13
OAS1,ENSG00000089127,Gene Expression,GRCh38,770.0,OAS1,750
LPAR5,ENSG00000184574,Gene Expression,GRCh38,6.0,LPAR5,6
C1orf210,ENSG00000253313,Gene Expression,GRCh38,115.0,C1orf210,112
AC008753.2,ENSG00000269564,Gene Expression,GRCh38,1.0,AC008753.2,1
TTC21A,ENSG00000168026,Gene Expression,GRCh38,43.0,TTC21A,42
PARP9,ENSG00000138496,Gene Expression,GRCh38,1459.0,PARP9,1400
SUCLA2-AS1,ENSG00000227848,Gene Expression,GRCh38,1.0,SUCLA2-AS1,1
SLC16A9,ENSG00000165449,Gene Expression,GRCh38,273.0,SLC16A9,268
MIR122HG,ENSG00000267391,Gene Expression,GRCh38,1.0,MIR122HG,1
HMBS,ENSG00000256269,Gene Expression,GRCh38,569.0,HMBS,558
RAMMET,ENSG00000169612,Gene Expression,GRCh38,2131.0,RAMMET,1989
CYB5B,ENSG00000103018,Gene Expression,GRCh38,2767.0,CYB5B,2668
DNMT1,ENSG00000130816,Gene Expression,GRCh38,1712.0,DNMT1,1633
EIF3M,ENSG00000149100,Gene Expression,GRCh38,3437.0,EIF3M,3267
AC020636.1,ENSG00000243273,Gene Expression,GRCh38,2.0,AC020636.1,2
RBM42,ENSG00000126254,Gene Expression,GRCh38,4178.0,RBM42,3894
PAPPA-AS1,ENSG00000256040,Gene Expression,GRCh38,666.0,PAPPA-AS1,659
SLC16A2,ENSG00000147100,Gene Expression,GRCh38,334.0,SLC16A2,327
PHLDB1,ENSG00000019144,Gene Expression,GRCh38,90.0,PHLDB1,89
C6orf58,ENSG00000184530,Gene Expression,GRCh38,3.0,C6orf58,2
HID1,ENSG00000167861,Gene Expression,GRCh38,671.0,HID1,662
BEAN1-AS1,ENSG00000261656,Gene Expression,GRCh38,0.0,BEAN1-AS1,0
ARHGAP32,ENSG00000134909,Gene Expression,GRCh38,513.0,ARHGAP32,492
AL035425.1,ENSG00000237863,Gene Expression,GRCh38,1.0,AL035425.1,1
SLC35F5,ENSG00000115084,Gene Expression,GRCh38,942.0,SLC35F5,926
MCTP1,ENSG00000175471,Gene Expression,GRCh38,3.0,MCTP1,3
OR52N1,ENSG00000181001,Gene Expression,GRCh38,0.0,OR52N1,0
HERC4,ENSG00000148634,Gene Expression,GRCh38,1824.0,HERC4,1772
DACT2,ENSG00000164488,Gene Expression,GRCh38,1911.0,DACT2,1822
AC002310.2,ENSG00000239791,Gene Expression,GRCh38,5.0,AC002310.2,5
CNGB3,ENSG00000170289,Gene Expression,GRCh38,17.0,CNGB3,16
PJA1,ENSG00000181191,Gene Expression,GRCh38,543.0,PJA1,533
RPL14,ENSG00000188846,Gene Expression,GRCh38,49906.0,RPL14,32114
WDR46,ENSG00000227057,Gene Expression,GRCh38,1518.0,WDR46,1467
AC026202.3,ENSG00000268509,Gene Expression,GRCh38,9.0,AC026202.3,9
PATE4,ENSG00000237353,Gene Expression,GRCh38,1.0,PATE4,1
AC104506.1,ENSG00000273204,Gene Expression,GRCh38,54.0,AC104506.1,52
MED26,ENSG00000105085,Gene Expression,GRCh38,425.0,MED26,416
AC126178.1,ENSG00000257194,Gene Expression,GRCh38,1.0,AC126178.1,1
FAM228B,ENSG00000219626,Gene Expression,GRCh38,185.0,FAM228B,184
GUCY2F,ENSG00000101890,Gene Expression,GRCh38,23.0,GUCY2F,22
AC020922.4,ENSG00000276831,Gene Expression,GRCh38,3.0,AC020922.4,3
ZNF823,ENSG00000197933,Gene Expression,GRCh38,186.0,ZNF823,182
AC109830.1,ENSG00000251199,Gene Expression,GRCh38,1.0,AC109830.1,1
DNAI1,ENSG00000122735,Gene Expression,GRCh38,8.0,DNAI1,8
MIXL1,ENSG00000185155,Gene Expression,GRCh38,6.0,MIXL1,6
THSD8,ENSG00000284491,Gene Expression,GRCh38,3.0,THSD8,3
CREB3L1,ENSG00000157613,Gene Expression,GRCh38,19.0,CREB3L1,18
NCF4-AS1,ENSG00000183822,Gene Expression,GRCh38,156.0,NCF4-AS1,151
ING4,ENSG00000111653,Gene Expression,GRCh38,428.0,ING4,415
CAMK2D,ENSG00000145349,Gene Expression,GRCh38,391.0,CAMK2D,380
CAPN14,ENSG00000214711,Gene Expression,GRCh38,21.0,CAPN14,21
AC073263.2,ENSG00000279070,Gene Expression,GRCh38,6.0,AC073263.2,6
AC005096.1,ENSG00000259294,Gene Expression,GRCh38,2.0,AC005096.1,2
LINC02042,ENSG00000240893,Gene Expression,GRCh38,1.0,LINC02042,1
CRX,ENSG00000105392,Gene Expression,GRCh38,12.0,CRX,12
SCUBE2,ENSG00000175356,Gene Expression,GRCh38,0.0,SCUBE2,0
TBPL1,ENSG00000028839,Gene Expression,GRCh38,1020.0,TBPL1,999
C12orf75,ENSG00000235162,Gene Expression,GRCh38,31423.0,C12orf75,22795
SMURF1,ENSG00000198742,Gene Expression,GRCh38,941.0,SMURF1,900
DDX60,ENSG00000137628,Gene Expression,GRCh38,1454.0,DDX60,1417
SLC9A2,ENSG00000115616,Gene Expression,GRCh38,4.0,SLC9A2,4
ANKLE1,ENSG00000160117,Gene Expression,GRCh38,14.0,ANKLE1,14
ALDH6A1,ENSG00000119711,Gene Expression,GRCh38,414.0,ALDH6A1,405
IFNGR2,ENSG00000159128,Gene Expression,GRCh38,2201.0,IFNGR2,2102
FUCA2,ENSG00000001036,Gene Expression,GRCh38,4129.0,FUCA2,3875
ANKRD1,ENSG00000148677,Gene Expression,GRCh38,303.0,ANKRD1,286
ENO3,ENSG00000108515,Gene Expression,GRCh38,99.0,ENO3,98
GATA6-AS1,ENSG00000266010,Gene Expression,GRCh38,12.0,GATA6-AS1,12
AC009955.3,ENSG00000268896,Gene Expression,GRCh38,0.0,AC009955.3,0
MAN2B1,ENSG00000104774,Gene Expression,GRCh38,78.0,MAN2B1,78
AC022613.1,ENSG00000256802,Gene Expression,GRCh38,1.0,AC022613.1,1
RSPH3,ENSG00000130363,Gene Expression,GRCh38,454.0,RSPH3,441
LINC01277,ENSG00000229017,Gene Expression,GRCh38,1.0,LINC01277,1
IL11RA,ENSG00000137070,Gene Expression,GRCh38,344.0,IL11RA,328
AC005695.2,ENSG00000263708,Gene Expression,GRCh38,0.0,AC005695.2,0
AC005339.1,ENSG00000268565,Gene Expression,GRCh38,7.0,AC005339.1,7
PRIM2,ENSG00000146143,Gene Expression,GRCh38,181.0,PRIM2,179
SLC12A9,ENSG00000146828,Gene Expression,GRCh38,790.0,SLC12A9,772
TPMT,ENSG00000137364,Gene Expression,GRCh38,718.0,TPMT,700
COL4A1,ENSG00000187498,Gene Expression,GRCh38,43827.0,COL4A1,29071
AL049629.2,ENSG00000284969,Gene Expression,GRCh38,77.0,AL049629.2,76
AP003469.4,ENSG00000261087,Gene Expression,GRCh38,63.0,AP003469.4,59
KCNH1,ENSG00000143473,Gene Expression,GRCh38,6.0,KCNH1,5
LRRC36,ENSG00000159708,Gene Expression,GRCh38,2.0,LRRC36,2
AL732314.6,ENSG00000281849,Gene Expression,GRCh38,1.0,AL732314.6,1
CHD7,ENSG00000171316,Gene Expression,GRCh38,734.0,CHD7,702
DNMT3A,ENSG00000119772,Gene Expression,GRCh38,1710.0,DNMT3A,1632
ALG5,ENSG00000120697,Gene Expression,GRCh38,1550.0,ALG5,1511
ST8SIA3,ENSG00000177511,Gene Expression,GRCh38,2.0,ST8SIA3,2
GP6,ENSG00000088053,Gene Expression,GRCh38,10.0,GP6,9
COX7A1,ENSG00000161281,Gene Expression,GRCh38,147.0,COX7A1,139
PSMB8-AS1,ENSG00000204261,Gene Expression,GRCh38,12.0,PSMB8-AS1,12
AC005515.2,ENSG00000269460,Gene Expression,GRCh38,8.0,AC005515.2,8
MDFIC,ENSG00000135272,Gene Expression,GRCh38,85.0,MDFIC,83
TMEM33,ENSG00000109133,Gene Expression,GRCh38,1891.0,TMEM33,1835
RBM15B,ENSG00000259956,Gene Expression,GRCh38,684.0,RBM15B,669
UCK1,ENSG00000130717,Gene Expression,GRCh38,297.0,UCK1,290
AL034397.3,ENSG00000274536,Gene Expression,GRCh38,4.0,AL034397.3,4
SLC7A2,ENSG00000003989,Gene Expression,GRCh38,4973.0,SLC7A2,4677
RNFT1-DT,ENSG00000267302,Gene Expression,GRCh38,16.0,RNFT1-DT,16
AC093536.2,ENSG00000260715,Gene Expression,GRCh38,3.0,AC093536.2,3
CRLF3,ENSG00000176390,Gene Expression,GRCh38,952.0,CRLF3,933
SSC5D,ENSG00000179954,Gene Expression,GRCh38,5.0,SSC5D,5
AC009065.6,ENSG00000261240,Gene Expression,GRCh38,1.0,AC009065.6,1
TRUB1,ENSG00000165832,Gene Expression,GRCh38,253.0,TRUB1,251
COLGALT1,ENSG00000130309,Gene Expression,GRCh38,5451.0,COLGALT1,5101
PTP4A2,ENSG00000184007,Gene Expression,GRCh38,6995.0,PTP4A2,6362
AC093159.1,ENSG00000228541,Gene Expression,GRCh38,15.0,AC093159.1,14
UQCC2,ENSG00000137288,Gene Expression,GRCh38,4614.0,UQCC2,4256
AL021707.4,ENSG00000230912,Gene Expression,GRCh38,0.0,AL021707.4,0
AC106739.1,ENSG00000245888,Gene Expression,GRCh38,21.0,AC106739.1,18
GUCA1B,ENSG00000112599,Gene Expression,GRCh38,1.0,GUCA1B,1
CCSER2,ENSG00000107771,Gene Expression,GRCh38,1608.0,CCSER2,1556
Z68871.1,ENSG00000239407,Gene Expression,GRCh38,27.0,Z68871.1,27
AC239800.3,ENSG00000263590,Gene Expression,GRCh38,106.0,AC239800.3,105
DPY19L1,ENSG00000173852,Gene Expression,GRCh38,419.0,DPY19L1,408
NDUFC1,ENSG00000109390,Gene Expression,GRCh38,9151.0,NDUFC1,7960
AL139241.1,ENSG00000230928,Gene Expression,GRCh38,1.0,AL139241.1,1
ALK,ENSG00000171094,Gene Expression,GRCh38,29.0,ALK,28
ANKRD65,ENSG00000235098,Gene Expression,GRCh38,33.0,ANKRD65,33
LINC00920,ENSG00000246898,Gene Expression,GRCh38,87.0,LINC00920,85
NKTR,ENSG00000114857,Gene Expression,GRCh38,1523.0,NKTR,1458
PTPRD-AS2,ENSG00000226717,Gene Expression,GRCh38,1.0,PTPRD-AS2,1
USP36,ENSG00000055483,Gene Expression,GRCh38,856.0,USP36,825
PDIA3,ENSG00000167004,Gene Expression,GRCh38,33870.0,PDIA3,25089
SLCO4A1,ENSG00000101187,Gene Expression,GRCh38,7893.0,SLCO4A1,7124
AC145285.2,ENSG00000251417,Gene Expression,GRCh38,6.0,AC145285.2,6
ITFG2,ENSG00000111203,Gene Expression,GRCh38,155.0,ITFG2,154
TXNDC9,ENSG00000115514,Gene Expression,GRCh38,1559.0,TXNDC9,1524
C4orf17,ENSG00000138813,Gene Expression,GRCh38,1.0,C4orf17,1
HCFC2,ENSG00000111727,Gene Expression,GRCh38,433.0,HCFC2,418
AC138035.1,ENSG00000238035,Gene Expression,GRCh38,1.0,AC138035.1,1
SAMSN1,ENSG00000155307,Gene Expression,GRCh38,0.0,SAMSN1,0
KRT79,ENSG00000185640,Gene Expression,GRCh38,1.0,KRT79,1
AC015982.1,ENSG00000272606,Gene Expression,GRCh38,23.0,AC015982.1,23
C1orf54,ENSG00000118292,Gene Expression,GRCh38,39.0,C1orf54,38
TEX46,ENSG00000227868,Gene Expression,GRCh38,0.0,TEX46,0
TMEM234,ENSG00000160055,Gene Expression,GRCh38,280.0,TMEM234,275
AL135999.1,ENSG00000258727,Gene Expression,GRCh38,15.0,AL135999.1,15
AC026150.3,ENSG00000270016,Gene Expression,GRCh38,0.0,AC026150.3,0
MTHFD1,ENSG00000100714,Gene Expression,GRCh38,281.0,MTHFD1,270
FCGRT,ENSG00000104870,Gene Expression,GRCh38,264.0,FCGRT,260
ZNF280B,ENSG00000275004,Gene Expression,GRCh38,12.0,ZNF280B,10
LINC02324,ENSG00000255002,Gene Expression,GRCh38,2.0,LINC02324,2
NDUFA5,ENSG00000128609,Gene Expression,GRCh38,3034.0,NDUFA5,2843
HDDC2,ENSG00000111906,Gene Expression,GRCh38,1990.0,HDDC2,1908
AC116036.2,ENSG00000272360,Gene Expression,GRCh38,4.0,AC116036.2,4
AL365226.2,ENSG00000237643,Gene Expression,GRCh38,646.0,AL365226.2,612
ARMC10,ENSG00000170632,Gene Expression,GRCh38,709.0,ARMC10,695
KLHL33,ENSG00000185271,Gene Expression,GRCh38,6.0,KLHL33,6
AC001226.2,ENSG00000283208,Gene Expression,GRCh38,15.0,AC001226.2,15
NIPSNAP3B,ENSG00000165028,Gene Expression,GRCh38,7.0,NIPSNAP3B,7
LAD1,ENSG00000159166,Gene Expression,GRCh38,933.0,LAD1,900
AC008687.2,ENSG00000268108,Gene Expression,GRCh38,1.0,AC008687.2,1
TM4SF19-AS1,ENSG00000235897,Gene Expression,GRCh38,1.0,TM4SF19-AS1,1
ZNF543,ENSG00000178229,Gene Expression,GRCh38,93.0,ZNF543,91
SH3BP5,ENSG00000131370,Gene Expression,GRCh38,5894.0,SH3BP5,5506
AC068790.8,ENSG00000274874,Gene Expression,GRCh38,6.0,AC068790.8,6
TMEM14A,ENSG00000096092,Gene Expression,GRCh38,2014.0,TMEM14A,1945
AC016642.1,ENSG00000248475,Gene Expression,GRCh38,34.0,AC016642.1,34
AC131934.1,ENSG00000255158,Gene Expression,GRCh38,0.0,AC131934.1,0
BX284668.5,ENSG00000238142,Gene Expression,GRCh38,138.0,BX284668.5,137
AC025183.1,ENSG00000249116,Gene Expression,GRCh38,4.0,AC025183.1,4
C19orf84,ENSG00000262874,Gene Expression,GRCh38,1.0,C19orf84,1
TMEM192,ENSG00000170088,Gene Expression,GRCh38,420.0,TMEM192,412
TPTE2,ENSG00000132958,Gene Expression,GRCh38,4.0,TPTE2,4
OVOL1-AS1,ENSG00000255120,Gene Expression,GRCh38,1.0,OVOL1-AS1,1
HEBP2,ENSG00000051620,Gene Expression,GRCh38,8245.0,HEBP2,7459
AC078923.1,ENSG00000258077,Gene Expression,GRCh38,1.0,AC078923.1,1
HAPLN4,ENSG00000187664,Gene Expression,GRCh38,1.0,HAPLN4,1
SMIM27,ENSG00000235453,Gene Expression,GRCh38,520.0,SMIM27,499
AC004754.1,ENSG00000269881,Gene Expression,GRCh38,2.0,AC004754.1,2
AC004471.2,ENSG00000272682,Gene Expression,GRCh38,1.0,AC004471.2,1
TAS1R3,ENSG00000169962,Gene Expression,GRCh38,4.0,TAS1R3,4
SUSD2,ENSG00000099994,Gene Expression,GRCh38,122.0,SUSD2,117
MAN1A2,ENSG00000198162,Gene Expression,GRCh38,9994.0,MAN1A2,8980
ZC3H11A,ENSG00000058673,Gene Expression,GRCh38,23.0,ZC3H11A,23
EPB41L1,ENSG00000088367,Gene Expression,GRCh38,185.0,EPB41L1,180
SCD5,ENSG00000145284,Gene Expression,GRCh38,31.0,SCD5,31
ZNF507,ENSG00000168813,Gene Expression,GRCh38,754.0,ZNF507,713
TNIP3,ENSG00000050730,Gene Expression,GRCh38,14.0,TNIP3,14
MELTF-AS1,ENSG00000228109,Gene Expression,GRCh38,0.0,MELTF-AS1,0
MRPS7,ENSG00000125445,Gene Expression,GRCh38,1450.0,MRPS7,1416
ARHGEF15,ENSG00000198844,Gene Expression,GRCh38,3.0,ARHGEF15,3
SCN4A,ENSG00000007314,Gene Expression,GRCh38,4.0,SCN4A,4
AC084819.1,ENSG00000256923,Gene Expression,GRCh38,1.0,AC084819.1,1
TSPO,ENSG00000100300,Gene Expression,GRCh38,11721.0,TSPO,10351
CPSF4,ENSG00000160917,Gene Expression,GRCh38,620.0,CPSF4,611
TCTN2,ENSG00000168778,Gene Expression,GRCh38,103.0,TCTN2,99
SOD2-OT1,ENSG00000285427,Gene Expression,GRCh38,11.0,SOD2-OT1,10
MRPL30,ENSG00000185414,Gene Expression,GRCh38,636.0,MRPL30,624
MS4A7,ENSG00000166927,Gene Expression,GRCh38,2.0,MS4A7,2
EXD2,ENSG00000081177,Gene Expression,GRCh38,110.0,EXD2,110
PEX13,ENSG00000162928,Gene Expression,GRCh38,618.0,PEX13,606
OR52K2,ENSG00000181963,Gene Expression,GRCh38,1.0,OR52K2,1
KIAA0355,ENSG00000166398,Gene Expression,GRCh38,2735.0,KIAA0355,2592
PLCG1-AS1,ENSG00000226648,Gene Expression,GRCh38,1.0,PLCG1-AS1,1
AC009139.2,ENSG00000261063,Gene Expression,GRCh38,2.0,AC009139.2,2
LINC01958,ENSG00000283436,Gene Expression,GRCh38,4.0,LINC01958,3
TRIM37,ENSG00000108395,Gene Expression,GRCh38,1048.0,TRIM37,1010
USP19,ENSG00000172046,Gene Expression,GRCh38,512.0,USP19,502
LY6E-DT,ENSG00000247317,Gene Expression,GRCh38,96.0,LY6E-DT,93
AF106564.1,ENSG00000272163,Gene Expression,GRCh38,1.0,AF106564.1,1
ITFG1,ENSG00000129636,Gene Expression,GRCh38,2887.0,ITFG1,2766
CSTF3,ENSG00000176102,Gene Expression,GRCh38,566.0,CSTF3,551
RBP4,ENSG00000138207,Gene Expression,GRCh38,3.0,RBP4,3
VPS37B,ENSG00000139722,Gene Expression,GRCh38,1566.0,VPS37B,1516
MIR7-3HG,ENSG00000176840,Gene Expression,GRCh38,3.0,MIR7-3HG,3
D2HGDH,ENSG00000180902,Gene Expression,GRCh38,488.0,D2HGDH,473
CDIPT,ENSG00000103502,Gene Expression,GRCh38,2184.0,CDIPT,2113
EDEM1,ENSG00000134109,Gene Expression,GRCh38,3512.0,EDEM1,3341
AC006333.2,ENSG00000272686,Gene Expression,GRCh38,106.0,AC006333.2,103
HAGLROS,ENSG00000226363,Gene Expression,GRCh38,7.0,HAGLROS,7
NFATC2IP,ENSG00000176953,Gene Expression,GRCh38,1062.0,NFATC2IP,1009
LINC01992,ENSG00000260019,Gene Expression,GRCh38,11.0,LINC01992,11
MTHFD2L,ENSG00000163738,Gene Expression,GRCh38,167.0,MTHFD2L,159
HEATR5B,ENSG00000008869,Gene Expression,GRCh38,555.0,HEATR5B,548
TEX26-AS1,ENSG00000224743,Gene Expression,GRCh38,1.0,TEX26-AS1,1
C14orf178,ENSG00000197734,Gene Expression,GRCh38,2.0,C14orf178,2
AL357054.4,ENSG00000272463,Gene Expression,GRCh38,5.0,AL357054.4,5
C6orf62,ENSG00000112308,Gene Expression,GRCh38,11477.0,C6orf62,10253
TLE3,ENSG00000140332,Gene Expression,GRCh38,5968.0,TLE3,5484
C2CD4D,ENSG00000225556,Gene Expression,GRCh38,23.0,C2CD4D,23
MYOCOS,ENSG00000283683,Gene Expression,GRCh38,2.0,MYOCOS,2
MT-CYB,ENSG00000198727,Gene Expression,GRCh38,530258.0,MT-CYB,61280
GAST,ENSG00000184502,Gene Expression,GRCh38,592.0,GAST,563
CRBN,ENSG00000113851,Gene Expression,GRCh38,922.0,CRBN,893
EIF2AK3,ENSG00000172071,Gene Expression,GRCh38,711.0,EIF2AK3,696
GOLGA4,ENSG00000144674,Gene Expression,GRCh38,9421.0,GOLGA4,8235
C19orf18,ENSG00000177025,Gene Expression,GRCh38,7.0,C19orf18,7
AMPD2,ENSG00000116337,Gene Expression,GRCh38,703.0,AMPD2,671
PLCXD2-AS1,ENSG00000240766,Gene Expression,GRCh38,2.0,PLCXD2-AS1,2
PPP1R3F,ENSG00000049769,Gene Expression,GRCh38,46.0,PPP1R3F,46
LDB2,ENSG00000169744,Gene Expression,GRCh38,2.0,LDB2,2
ERLEC1,ENSG00000068912,Gene Expression,GRCh38,4686.0,ERLEC1,4346
CREB3L2,ENSG00000182158,Gene Expression,GRCh38,6814.0,CREB3L2,6308
ACSS2,ENSG00000131069,Gene Expression,GRCh38,568.0,ACSS2,557
AC084035.1,ENSG00000282860,Gene Expression,GRCh38,17.0,AC084035.1,17
LINC02052,ENSG00000224406,Gene Expression,GRCh38,1.0,LINC02052,1
GATA4,ENSG00000136574,Gene Expression,GRCh38,2.0,GATA4,2
SPTAN1,ENSG00000197694,Gene Expression,GRCh38,834.0,SPTAN1,810
DGKD,ENSG00000077044,Gene Expression,GRCh38,90.0,DGKD,87
AL603756.1,ENSG00000271933,Gene Expression,GRCh38,99.0,AL603756.1,93
AC136604.3,ENSG00000250999,Gene Expression,GRCh38,3.0,AC136604.3,3
AURKB,ENSG00000178999,Gene Expression,GRCh38,70.0,AURKB,67
ARMC1,ENSG00000104442,Gene Expression,GRCh38,1289.0,ARMC1,1239
SOSTDC1,ENSG00000171243,Gene Expression,GRCh38,11.0,SOSTDC1,11
PNPLA6,ENSG00000032444,Gene Expression,GRCh38,760.0,PNPLA6,739
AC117386.2,ENSG00000243944,Gene Expression,GRCh38,4.0,AC117386.2,4
AC005013.1,ENSG00000228421,Gene Expression,GRCh38,2.0,AC005013.1,2
AC114341.1,ENSG00000278075,Gene Expression,GRCh38,2.0,AC114341.1,2
PSG7,ENSG00000221878,Gene Expression,GRCh38,9950.0,PSG7,8980
AL137077.2,ENSG00000283078,Gene Expression,GRCh38,13.0,AL137077.2,13
KCNK5,ENSG00000164626,Gene Expression,GRCh38,207.0,KCNK5,202
EML1,ENSG00000066629,Gene Expression,GRCh38,131.0,EML1,126
NFKBIL1,ENSG00000204498,Gene Expression,GRCh38,540.0,NFKBIL1,527
AC004223.2,ENSG00000267457,Gene Expression,GRCh38,1.0,AC004223.2,1
AC118754.2,ENSG00000262921,Gene Expression,GRCh38,1.0,AC118754.2,1
AC245884.8,ENSG00000267838,Gene Expression,GRCh38,2.0,AC245884.8,2
AL353588.1,ENSG00000272442,Gene Expression,GRCh38,1.0,AL353588.1,1
DSC3,ENSG00000134762,Gene Expression,GRCh38,319.0,DSC3,316
GDF11,ENSG00000135414,Gene Expression,GRCh38,126.0,GDF11,125
AP001107.2,ENSG00000254452,Gene Expression,GRCh38,83.0,AP001107.2,82
SLC6A15,ENSG00000072041,Gene Expression,GRCh38,56.0,SLC6A15,56
AL117335.1,ENSG00000276649,Gene Expression,GRCh38,0.0,AL117335.1,0
MARCKS,ENSG00000277443,Gene Expression,GRCh38,11946.0,MARCKS,10545
N4BP2L1,ENSG00000139597,Gene Expression,GRCh38,24.0,N4BP2L1,24
AC007193.1,ENSG00000268810,Gene Expression,GRCh38,6.0,AC007193.1,6
TIGD1,ENSG00000221944,Gene Expression,GRCh38,27.0,TIGD1,23
HOOK2,ENSG00000095066,Gene Expression,GRCh38,699.0,HOOK2,678
MSANTD2,ENSG00000120458,Gene Expression,GRCh38,279.0,MSANTD2,276
AC004231.1,ENSG00000234477,Gene Expression,GRCh38,3.0,AC004231.1,3
KRT23,ENSG00000108244,Gene Expression,GRCh38,5777.0,KRT23,5400
USP22,ENSG00000124422,Gene Expression,GRCh38,3799.0,USP22,3573
ZNF439,ENSG00000171291,Gene Expression,GRCh38,360.0,ZNF439,350
ANP32D,ENSG00000139223,Gene Expression,GRCh38,1.0,ANP32D,1
KANSL1L,ENSG00000144445,Gene Expression,GRCh38,162.0,KANSL1L,161
ABCA3,ENSG00000167972,Gene Expression,GRCh38,3.0,ABCA3,3
DLGAP1,ENSG00000170579,Gene Expression,GRCh38,155.0,DLGAP1,148
ATP10A,ENSG00000206190,Gene Expression,GRCh38,5.0,ATP10A,5
MTRF1,ENSG00000120662,Gene Expression,GRCh38,140.0,MTRF1,137
TTC13,ENSG00000143643,Gene Expression,GRCh38,125.0,TTC13,122
AL590666.2,ENSG00000229953,Gene Expression,GRCh38,2.0,AL590666.2,2
ZNF674,ENSG00000251192,Gene Expression,GRCh38,49.0,ZNF674,48
OR5H6,ENSG00000230301,Gene Expression,GRCh38,1.0,OR5H6,1
SDHAF2,ENSG00000167985,Gene Expression,GRCh38,1146.0,SDHAF2,1114
CDKL5,ENSG00000008086,Gene Expression,GRCh38,333.0,CDKL5,323
CCNJL,ENSG00000135083,Gene Expression,GRCh38,1.0,CCNJL,1
DNAJC22,ENSG00000178401,Gene Expression,GRCh38,9.0,DNAJC22,9
MED24,ENSG00000008838,Gene Expression,GRCh38,603.0,MED24,587
ALDH1L2,ENSG00000136010,Gene Expression,GRCh38,218.0,ALDH1L2,214
ZPBP,ENSG00000042813,Gene Expression,GRCh38,1.0,ZPBP,1
AC012629.2,ENSG00000272324,Gene Expression,GRCh38,30.0,AC012629.2,29
AC068724.1,ENSG00000261687,Gene Expression,GRCh38,1.0,AC068724.1,1
SLC25A29,ENSG00000197119,Gene Expression,GRCh38,141.0,SLC25A29,137
OVOL2,ENSG00000125850,Gene Expression,GRCh38,35.0,OVOL2,35
LRRC49,ENSG00000137821,Gene Expression,GRCh38,3.0,LRRC49,3
LINC01132,ENSG00000227630,Gene Expression,GRCh38,8.0,LINC01132,8
BTD,ENSG00000169814,Gene Expression,GRCh38,507.0,BTD,497
SNN,ENSG00000184602,Gene Expression,GRCh38,120.0,SNN,116
SERTAD4-AS1,ENSG00000203706,Gene Expression,GRCh38,76.0,SERTAD4-AS1,75
MYOG,ENSG00000122180,Gene Expression,GRCh38,2.0,MYOG,2
RPRD2,ENSG00000163125,Gene Expression,GRCh38,484.0,RPRD2,465
AC017100.1,ENSG00000259985,Gene Expression,GRCh38,4.0,AC017100.1,3
SMC6,ENSG00000163029,Gene Expression,GRCh38,348.0,SMC6,339
AC092053.3,ENSG00000284669,Gene Expression,GRCh38,26.0,AC092053.3,24
LINC00942,ENSG00000249628,Gene Expression,GRCh38,1.0,LINC00942,1
ANKRD36,ENSG00000135976,Gene Expression,GRCh38,68.0,ANKRD36,67
PGGT1B,ENSG00000164219,Gene Expression,GRCh38,820.0,PGGT1B,807
RAD51AP1,ENSG00000111247,Gene Expression,GRCh38,85.0,RAD51AP1,85
RAI14,ENSG00000039560,Gene Expression,GRCh38,6418.0,RAI14,5891
TTC19,ENSG00000011295,Gene Expression,GRCh38,1043.0,TTC19,1015
CARS,ENSG00000110619,Gene Expression,GRCh38,2373.0,CARS,2256
OR10D3,ENSG00000197309,Gene Expression,GRCh38,9.0,OR10D3,9
AL121885.1,ENSG00000226169,Gene Expression,GRCh38,1.0,AL121885.1,1
LINC00871,ENSG00000258700,Gene Expression,GRCh38,0.0,LINC00871,0
PNPO,ENSG00000108439,Gene Expression,GRCh38,359.0,PNPO,350
REELD1,ENSG00000250673,Gene Expression,GRCh38,1.0,REELD1,1
AC078795.2,ENSG00000270096,Gene Expression,GRCh38,8.0,AC078795.2,8
AC099550.1,ENSG00000251379,Gene Expression,GRCh38,0.0,AC099550.1,0
LIPC,ENSG00000166035,Gene Expression,GRCh38,8.0,LIPC,8
LRRC26,ENSG00000184709,Gene Expression,GRCh38,1.0,LRRC26,1
ADAMTSL4,ENSG00000143382,Gene Expression,GRCh38,11829.0,ADAMTSL4,10388
ITPR1,ENSG00000150995,Gene Expression,GRCh38,63.0,ITPR1,62
GRM7,ENSG00000196277,Gene Expression,GRCh38,9.0,GRM7,8
