,gene_ids,feature_types,genome,n_cells,n_counts,gene_name,n_droplets
ATP6V0E2-AS1,ENSG00000204934,Gene Expression,GRCh38,6,6.0,ATP6V0E2-AS1,6
FOXD3,ENSG00000187140,Gene Expression,GRCh38,4,4.0,FOXD3,4
MTCP1,ENSG00000214827,Gene Expression,GRCh38,11,11.0,MTCP1,11
ZNF280B,ENSG00000275004,Gene Expression,GRCh38,11,13.0,ZNF280B,11
USP37,ENSG00000135913,Gene Expression,GRCh38,656,740.0,USP37,656
CCDC191,ENSG00000163617,Gene Expression,GRCh38,163,174.0,CCDC191,163
DDR1,ENSG00000204580,Gene Expression,GRCh38,1423,1774.0,DDR1,1423
AL590705.1,ENSG00000203279,Gene Expression,GRCh38,5,5.0,AL590705.1,5
SAMD12,ENSG00000177570,Gene Expression,GRCh38,22,23.0,SAMD12,22
TMEM33,ENSG00000109133,Gene Expression,GRCh38,1544,2049.0,TMEM33,1544
RPS6KC1,ENSG00000136643,Gene Expression,GRCh38,532,581.0,RPS6KC1,532
AL031710.1,ENSG00000261399,Gene Expression,GRCh38,5,5.0,AL031710.1,5
NOMO1,ENSG00000103512,Gene Expression,GRCh38,535,600.0,NOMO1,535
GULP1,ENSG00000144366,Gene Expression,GRCh38,2028,3486.0,GULP1,2028
ZNF41,ENSG00000147124,Gene Expression,GRCh38,49,49.0,ZNF41,49
SOWAHD,ENSG00000187808,Gene Expression,GRCh38,598,765.0,SOWAHD,598
AL161937.2,ENSG00000237595,Gene Expression,GRCh38,4,4.0,AL161937.2,4
LINC02532,ENSG00000235142,Gene Expression,GRCh38,7,8.0,LINC02532,7
NOXA1,ENSG00000188747,Gene Expression,GRCh38,295,313.0,NOXA1,295
FBXO33,ENSG00000165355,Gene Expression,GRCh38,834,962.0,FBXO33,834
AL354920.1,ENSG00000254473,Gene Expression,GRCh38,104,112.0,AL354920.1,104
AL020995.1,ENSG00000236065,Gene Expression,GRCh38,3,3.0,AL020995.1,3
CTTNBP2,ENSG00000077063,Gene Expression,GRCh38,11,11.0,CTTNBP2,11
DOC2A,ENSG00000149927,Gene Expression,GRCh38,20,20.0,DOC2A,20
CITED1,ENSG00000125931,Gene Expression,GRCh38,6,6.0,CITED1,6
NDN,ENSG00000182636,Gene Expression,GRCh38,24,25.0,NDN,24
CDO1,ENSG00000129596,Gene Expression,GRCh38,1237,1788.0,CDO1,1237
DARS2,ENSG00000117593,Gene Expression,GRCh38,246,256.0,DARS2,246
AL365214.2,ENSG00000226440,Gene Expression,GRCh38,18,18.0,AL365214.2,18
HSH2D,ENSG00000196684,Gene Expression,GRCh38,472,537.0,HSH2D,472
ZNF415,ENSG00000170954,Gene Expression,GRCh38,240,260.0,ZNF415,240
TMPRSS12,ENSG00000186452,Gene Expression,GRCh38,36,37.0,TMPRSS12,36
CPSF3,ENSG00000119203,Gene Expression,GRCh38,782,882.0,CPSF3,782
VPS18,ENSG00000104142,Gene Expression,GRCh38,319,339.0,VPS18,319
ARMC6,ENSG00000105676,Gene Expression,GRCh38,358,387.0,ARMC6,358
ARSK,ENSG00000164291,Gene Expression,GRCh38,1306,1673.0,ARSK,1306
ADGRF4,ENSG00000153294,Gene Expression,GRCh38,392,420.0,ADGRF4,392
ELMO2,ENSG00000062598,Gene Expression,GRCh38,216,219.0,ELMO2,216
SERP2,ENSG00000151778,Gene Expression,GRCh38,254,270.0,SERP2,254
IFNL3,ENSG00000197110,Gene Expression,GRCh38,11,26.0,IFNL3,11
SQLE,ENSG00000104549,Gene Expression,GRCh38,3562,8344.0,SQLE,3562
METTL17,ENSG00000165792,Gene Expression,GRCh38,642,709.0,METTL17,642
TSPAN2,ENSG00000134198,Gene Expression,GRCh38,47,50.0,TSPAN2,47
LRIG2,ENSG00000198799,Gene Expression,GRCh38,782,886.0,LRIG2,782
AL358472.4,ENSG00000282386,Gene Expression,GRCh38,51,52.0,AL358472.4,51
ULK1,ENSG00000177169,Gene Expression,GRCh38,1335,1789.0,ULK1,1335
LLGL1,ENSG00000131899,Gene Expression,GRCh38,234,245.0,LLGL1,234
CCDC47,ENSG00000108588,Gene Expression,GRCh38,2885,4772.0,CCDC47,2885
CCDC85B,ENSG00000175602,Gene Expression,GRCh38,815,956.0,CCDC85B,815
PRKG1,ENSG00000185532,Gene Expression,GRCh38,381,429.0,PRKG1,381
UBA7,ENSG00000182179,Gene Expression,GRCh38,391,406.0,UBA7,391
OR2A12,ENSG00000221858,Gene Expression,GRCh38,5,5.0,OR2A12,5
CRABP2,ENSG00000143320,Gene Expression,GRCh38,434,640.0,CRABP2,434
LINC01703,ENSG00000225518,Gene Expression,GRCh38,6,6.0,LINC01703,6
ZMYND19,ENSG00000165724,Gene Expression,GRCh38,595,659.0,ZMYND19,595
OR52H1,ENSG00000181616,Gene Expression,GRCh38,6,6.0,OR52H1,6
DEDD,ENSG00000158796,Gene Expression,GRCh38,1003,1138.0,DEDD,1003
AC136475.5,ENSG00000255328,Gene Expression,GRCh38,3,3.0,AC136475.5,3
VWA5A,ENSG00000110002,Gene Expression,GRCh38,440,468.0,VWA5A,440
AC078909.2,ENSG00000274444,Gene Expression,GRCh38,3,3.0,AC078909.2,3
ADPGK,ENSG00000159322,Gene Expression,GRCh38,1392,1728.0,ADPGK,1392
AC090186.1,ENSG00000272076,Gene Expression,GRCh38,15,15.0,AC090186.1,15
CSE1L,ENSG00000124207,Gene Expression,GRCh38,1086,1265.0,CSE1L,1086
RPF1,ENSG00000117133,Gene Expression,GRCh38,592,654.0,RPF1,592
AC007494.2,ENSG00000260744,Gene Expression,GRCh38,4,4.0,AC007494.2,4
NUPL2,ENSG00000136243,Gene Expression,GRCh38,448,484.0,NUPL2,448
AC007228.2,ENSG00000268568,Gene Expression,GRCh38,122,124.0,AC007228.2,122
TCEAL5,ENSG00000204065,Gene Expression,GRCh38,19,24.0,TCEAL5,19
REPS2,ENSG00000169891,Gene Expression,GRCh38,634,742.0,REPS2,634
ZFHX2,ENSG00000136367,Gene Expression,GRCh38,14,14.0,ZFHX2,14
SPAG5,ENSG00000076382,Gene Expression,GRCh38,52,54.0,SPAG5,52
CTDNEP1,ENSG00000175826,Gene Expression,GRCh38,2207,2988.0,CTDNEP1,2207
CARD17,ENSG00000255221,Gene Expression,GRCh38,46,47.0,CARD17,46
KCNC1,ENSG00000129159,Gene Expression,GRCh38,10,10.0,KCNC1,10
LATS2,ENSG00000150457,Gene Expression,GRCh38,1300,1726.0,LATS2,1300
LRP5L,ENSG00000100068,Gene Expression,GRCh38,86,86.0,LRP5L,86
AC002550.2,ENSG00000276571,Gene Expression,GRCh38,7,7.0,AC002550.2,7
HMGA1P4,ENSG00000234705,Gene Expression,GRCh38,5,5.0,HMGA1P4,5
AL596202.1,ENSG00000235381,Gene Expression,GRCh38,40,40.0,AL596202.1,40
C10orf90,ENSG00000154493,Gene Expression,GRCh38,70,77.0,C10orf90,70
MRPL55,ENSG00000162910,Gene Expression,GRCh38,2130,3071.0,MRPL55,2130
AP000919.4,ENSG00000272625,Gene Expression,GRCh38,9,11.0,AP000919.4,9
AL021707.7,ENSG00000273076,Gene Expression,GRCh38,23,23.0,AL021707.7,23
TBX6,ENSG00000149922,Gene Expression,GRCh38,33,37.0,TBX6,33
ZNF311,ENSG00000197935,Gene Expression,GRCh38,24,24.0,ZNF311,24
C12orf10,ENSG00000139637,Gene Expression,GRCh38,673,744.0,C12orf10,673
CPNE2,ENSG00000140848,Gene Expression,GRCh38,184,196.0,CPNE2,184
EPS15,ENSG00000085832,Gene Expression,GRCh38,1731,2240.0,EPS15,1731
YY1AP1,ENSG00000163374,Gene Expression,GRCh38,897,1018.0,YY1AP1,897
DBF4,ENSG00000006634,Gene Expression,GRCh38,675,801.0,DBF4,675
TEN1,ENSG00000257949,Gene Expression,GRCh38,1181,1458.0,TEN1,1181
AL359922.2,ENSG00000265194,Gene Expression,GRCh38,22,22.0,AL359922.2,22
AL513327.2,ENSG00000233246,Gene Expression,GRCh38,4,4.0,AL513327.2,4
CBX5,ENSG00000094916,Gene Expression,GRCh38,1726,2322.0,CBX5,1726
AC022001.3,ENSG00000272483,Gene Expression,GRCh38,6,6.0,AC022001.3,6
GP2,ENSG00000169347,Gene Expression,GRCh38,3,3.0,GP2,3
ULK2,ENSG00000083290,Gene Expression,GRCh38,539,603.0,ULK2,539
WDR11-AS1,ENSG00000227165,Gene Expression,GRCh38,4,4.0,WDR11-AS1,4
ZNF442,ENSG00000198342,Gene Expression,GRCh38,13,13.0,ZNF442,13
LTA,ENSG00000226979,Gene Expression,GRCh38,3,3.0,LTA,3
NOL4L,ENSG00000197183,Gene Expression,GRCh38,131,143.0,NOL4L,131
AC005838.2,ENSG00000266538,Gene Expression,GRCh38,439,499.0,AC005838.2,439
ZNF419,ENSG00000105136,Gene Expression,GRCh38,156,163.0,ZNF419,156
LINC02313,ENSG00000258474,Gene Expression,GRCh38,4,4.0,LINC02313,4
LXN,ENSG00000079257,Gene Expression,GRCh38,175,187.0,LXN,175
TNK2,ENSG00000061938,Gene Expression,GRCh38,618,694.0,TNK2,618
AL136131.3,ENSG00000272114,Gene Expression,GRCh38,7,9.0,AL136131.3,7
TSC22D3,ENSG00000157514,Gene Expression,GRCh38,621,763.0,TSC22D3,621
SEPT11,ENSG00000138758,Gene Expression,GRCh38,3978,8904.0,SEPT11,3978
AC010680.4,ENSG00000271141,Gene Expression,GRCh38,30,31.0,AC010680.4,30
HEATR1,ENSG00000119285,Gene Expression,GRCh38,611,661.0,HEATR1,611
RBP1,ENSG00000114115,Gene Expression,GRCh38,332,414.0,RBP1,332
GNAQ,ENSG00000156052,Gene Expression,GRCh38,3306,6057.0,GNAQ,3306
ZNF664,ENSG00000179195,Gene Expression,GRCh38,550,592.0,ZNF664,550
DKKL1,ENSG00000104901,Gene Expression,GRCh38,4,4.0,DKKL1,4
LMF2,ENSG00000100258,Gene Expression,GRCh38,2110,3326.0,LMF2,2110
AC068189.1,ENSG00000254248,Gene Expression,GRCh38,4,4.0,AC068189.1,4
AL157373.2,ENSG00000229896,Gene Expression,GRCh38,11,12.0,AL157373.2,11
AL121652.1,ENSG00000273165,Gene Expression,GRCh38,28,28.0,AL121652.1,28
ARID1B,ENSG00000049618,Gene Expression,GRCh38,1717,2292.0,ARID1B,1717
BCOR,ENSG00000183337,Gene Expression,GRCh38,556,645.0,BCOR,556
PDCD1LG2,ENSG00000197646,Gene Expression,GRCh38,659,909.0,PDCD1LG2,659
PLEKHM2,ENSG00000116786,Gene Expression,GRCh38,1456,1760.0,PLEKHM2,1456
RAB5B,ENSG00000111540,Gene Expression,GRCh38,2479,3733.0,RAB5B,2479
KCTD4,ENSG00000180332,Gene Expression,GRCh38,3,3.0,KCTD4,3
AL139041.1,ENSG00000271631,Gene Expression,GRCh38,13,13.0,AL139041.1,13
COPS7A,ENSG00000111652,Gene Expression,GRCh38,1299,1642.0,COPS7A,1299
LCMT1,ENSG00000205629,Gene Expression,GRCh38,2120,3386.0,LCMT1,2120
INTS13,ENSG00000064102,Gene Expression,GRCh38,216,223.0,INTS13,216
GALE,ENSG00000117308,Gene Expression,GRCh38,2034,2869.0,GALE,2034
CNOT2,ENSG00000111596,Gene Expression,GRCh38,1833,2432.0,CNOT2,1833
ZNF219,ENSG00000165804,Gene Expression,GRCh38,79,81.0,ZNF219,79
PSKH1,ENSG00000159792,Gene Expression,GRCh38,333,350.0,PSKH1,333
LDLRAD2,ENSG00000187942,Gene Expression,GRCh38,448,533.0,LDLRAD2,448
MRPL11,ENSG00000174547,Gene Expression,GRCh38,1523,1997.0,MRPL11,1523
DMC1,ENSG00000100206,Gene Expression,GRCh38,16,16.0,DMC1,16
ABHD17B,ENSG00000107362,Gene Expression,GRCh38,237,250.0,ABHD17B,237
YARS,ENSG00000134684,Gene Expression,GRCh38,1324,1673.0,YARS,1324
AC010245.1,ENSG00000248881,Gene Expression,GRCh38,17,17.0,AC010245.1,17
CAPN10-DT,ENSG00000260942,Gene Expression,GRCh38,53,53.0,CAPN10-DT,53
C6orf47-AS1,ENSG00000227198,Gene Expression,GRCh38,6,6.0,C6orf47-AS1,6
CALCR,ENSG00000004948,Gene Expression,GRCh38,10,10.0,CALCR,10
NRF1,ENSG00000106459,Gene Expression,GRCh38,260,271.0,NRF1,260
ATF4,ENSG00000128272,Gene Expression,GRCh38,5856,14024.0,ATF4,5856
UBAC1,ENSG00000130560,Gene Expression,GRCh38,1144,1431.0,UBAC1,1144
SNX14,ENSG00000135317,Gene Expression,GRCh38,1183,1400.0,SNX14,1183
AC097625.1,ENSG00000225833,Gene Expression,GRCh38,48,53.0,AC097625.1,48
RNF212B,ENSG00000215277,Gene Expression,GRCh38,23,23.0,RNF212B,23
C3orf38,ENSG00000179021,Gene Expression,GRCh38,624,685.0,C3orf38,624
DNAH5,ENSG00000039139,Gene Expression,GRCh38,8,8.0,DNAH5,8
KLHL24,ENSG00000114796,Gene Expression,GRCh38,1125,1396.0,KLHL24,1125
ONECUT3,ENSG00000205922,Gene Expression,GRCh38,4,4.0,ONECUT3,4
AL117379.1,ENSG00000273759,Gene Expression,GRCh38,22,22.0,AL117379.1,22
AC018761.2,ENSG00000267062,Gene Expression,GRCh38,12,12.0,AC018761.2,12
RRAGD,ENSG00000025039,Gene Expression,GRCh38,156,173.0,RRAGD,156
FAM111A,ENSG00000166801,Gene Expression,GRCh38,289,323.0,FAM111A,289
AL136531.1,ENSG00000229728,Gene Expression,GRCh38,6,6.0,AL136531.1,6
XRRA1,ENSG00000166435,Gene Expression,GRCh38,713,797.0,XRRA1,713
KIAA1522,ENSG00000162522,Gene Expression,GRCh38,743,903.0,KIAA1522,743
FNDC7,ENSG00000143107,Gene Expression,GRCh38,6,7.0,FNDC7,6
MFSD4A,ENSG00000174514,Gene Expression,GRCh38,6,6.0,MFSD4A,6
PLP2,ENSG00000102007,Gene Expression,GRCh38,136,146.0,PLP2,136
GLYCTK,ENSG00000168237,Gene Expression,GRCh38,172,175.0,GLYCTK,172
DAGLB,ENSG00000164535,Gene Expression,GRCh38,459,492.0,DAGLB,459
AP001267.3,ENSG00000255435,Gene Expression,GRCh38,25,25.0,AP001267.3,25
TNFRSF21,ENSG00000146072,Gene Expression,GRCh38,1086,1608.0,TNFRSF21,1086
CCAR2,ENSG00000158941,Gene Expression,GRCh38,645,688.0,CCAR2,645
CTNND1,ENSG00000198561,Gene Expression,GRCh38,3331,5993.0,CTNND1,3331
FOXJ2,ENSG00000065970,Gene Expression,GRCh38,760,1023.0,FOXJ2,760
EIF2S3B,ENSG00000180574,Gene Expression,GRCh38,14,15.0,EIF2S3B,14
AC091132.5,ENSG00000267198,Gene Expression,GRCh38,28,29.0,AC091132.5,28
AC107032.2,ENSG00000257526,Gene Expression,GRCh38,11,11.0,AC107032.2,11
AC083843.2,ENSG00000254028,Gene Expression,GRCh38,4,4.0,AC083843.2,4
AC008083.2,ENSG00000258181,Gene Expression,GRCh38,22,24.0,AC008083.2,22
KRCC1,ENSG00000172086,Gene Expression,GRCh38,1094,1384.0,KRCC1,1094
TPRG1-AS1,ENSG00000234076,Gene Expression,GRCh38,3,3.0,TPRG1-AS1,3
PARD6G-AS1,ENSG00000267270,Gene Expression,GRCh38,86,94.0,PARD6G-AS1,86
DDX54,ENSG00000123064,Gene Expression,GRCh38,1221,1486.0,DDX54,1221
GRID2IP,ENSG00000215045,Gene Expression,GRCh38,3,3.0,GRID2IP,3
MIIP,ENSG00000116691,Gene Expression,GRCh38,2235,3164.0,MIIP,2235
KALRN,ENSG00000160145,Gene Expression,GRCh38,117,141.0,KALRN,117
NDEL1,ENSG00000166579,Gene Expression,GRCh38,1450,1838.0,NDEL1,1450
HOXB5,ENSG00000120075,Gene Expression,GRCh38,8,9.0,HOXB5,8
ADRA2C,ENSG00000184160,Gene Expression,GRCh38,61,63.0,ADRA2C,61
LINC02512,ENSG00000251061,Gene Expression,GRCh38,19,19.0,LINC02512,19
OR5AS1,ENSG00000181785,Gene Expression,GRCh38,3,3.0,OR5AS1,3
HPD,ENSG00000158104,Gene Expression,GRCh38,7,7.0,HPD,7
SLC52A1,ENSG00000132517,Gene Expression,GRCh38,529,629.0,SLC52A1,529
BRK1,ENSG00000254999,Gene Expression,GRCh38,2918,5646.0,BRK1,2918
AGER,ENSG00000204305,Gene Expression,GRCh38,60,63.0,AGER,60
ZNF566,ENSG00000186017,Gene Expression,GRCh38,147,155.0,ZNF566,147
AC106739.1,ENSG00000245888,Gene Expression,GRCh38,28,29.0,AC106739.1,28
SPINK1,ENSG00000164266,Gene Expression,GRCh38,40,82.0,SPINK1,40
ABCA12,ENSG00000144452,Gene Expression,GRCh38,261,300.0,ABCA12,261
PEX16,ENSG00000121680,Gene Expression,GRCh38,576,651.0,PEX16,576
AC107958.2,ENSG00000258765,Gene Expression,GRCh38,3,3.0,AC107958.2,3
UQCRHL,ENSG00000233954,Gene Expression,GRCh38,174,185.0,UQCRHL,174
CDH26,ENSG00000124215,Gene Expression,GRCh38,9,10.0,CDH26,9
UBE2L5,ENSG00000236444,Gene Expression,GRCh38,4,4.0,UBE2L5,4
PEMT,ENSG00000133027,Gene Expression,GRCh38,657,754.0,PEMT,657
DACT3-AS1,ENSG00000245598,Gene Expression,GRCh38,4,5.0,DACT3-AS1,4
ZFP36,ENSG00000128016,Gene Expression,GRCh38,2104,3102.0,ZFP36,2104
AP1B1,ENSG00000100280,Gene Expression,GRCh38,1733,2188.0,AP1B1,1733
SLC35G2,ENSG00000168917,Gene Expression,GRCh38,124,127.0,SLC35G2,124
LINC01804,ENSG00000231031,Gene Expression,GRCh38,16,16.0,LINC01804,16
AC119150.1,ENSG00000249916,Gene Expression,GRCh38,3,3.0,AC119150.1,3
TMEM187,ENSG00000177854,Gene Expression,GRCh38,268,281.0,TMEM187,268
SUSD3,ENSG00000157303,Gene Expression,GRCh38,19,19.0,SUSD3,19
ASPG,ENSG00000166183,Gene Expression,GRCh38,3,3.0,ASPG,3
TMEM161B,ENSG00000164180,Gene Expression,GRCh38,964,1111.0,TMEM161B,964
AL162411.1,ENSG00000236924,Gene Expression,GRCh38,149,156.0,AL162411.1,149
AL158071.3,ENSG00000230537,Gene Expression,GRCh38,22,22.0,AL158071.3,22
ERLIN1,ENSG00000107566,Gene Expression,GRCh38,1519,1910.0,ERLIN1,1519
AC091987.1,ENSG00000253584,Gene Expression,GRCh38,40,40.0,AC091987.1,40
AC015849.3,ENSG00000270871,Gene Expression,GRCh38,9,9.0,AC015849.3,9
C1orf123,ENSG00000162384,Gene Expression,GRCh38,1095,1330.0,C1orf123,1095
KIF6,ENSG00000164627,Gene Expression,GRCh38,20,20.0,KIF6,20
AL731661.1,ENSG00000213863,Gene Expression,GRCh38,33,35.0,AL731661.1,33
MESTIT1,ENSG00000272701,Gene Expression,GRCh38,14,14.0,MESTIT1,14
AC137834.2,ENSG00000276727,Gene Expression,GRCh38,12,12.0,AC137834.2,12
DDIT3,ENSG00000175197,Gene Expression,GRCh38,2790,7219.0,DDIT3,2790
ZNF559,ENSG00000188321,Gene Expression,GRCh38,99,99.0,ZNF559,99
FLNB,ENSG00000136068,Gene Expression,GRCh38,5632,21643.0,FLNB,5632
AL513329.1,ENSG00000227740,Gene Expression,GRCh38,20,20.0,AL513329.1,20
RELL1,ENSG00000181826,Gene Expression,GRCh38,897,1106.0,RELL1,897
NRBP1,ENSG00000115216,Gene Expression,GRCh38,3564,6340.0,NRBP1,3564
ARIH2OS,ENSG00000221883,Gene Expression,GRCh38,76,83.0,ARIH2OS,76
STN1,ENSG00000107960,Gene Expression,GRCh38,499,583.0,STN1,499
ZNF383,ENSG00000188283,Gene Expression,GRCh38,187,198.0,ZNF383,187
TNFAIP8,ENSG00000145779,Gene Expression,GRCh38,1961,2762.0,TNFAIP8,1961
PSMD8,ENSG00000099341,Gene Expression,GRCh38,3858,8196.0,PSMD8,3858
XCR1,ENSG00000173578,Gene Expression,GRCh38,349,480.0,XCR1,349
SAMD9,ENSG00000205413,Gene Expression,GRCh38,782,1033.0,SAMD9,782
DNASE2,ENSG00000105612,Gene Expression,GRCh38,2770,4730.0,DNASE2,2770
DLEU7,ENSG00000186047,Gene Expression,GRCh38,7,7.0,DLEU7,7
ERBB2,ENSG00000141736,Gene Expression,GRCh38,2929,6904.0,ERBB2,2929
BCAS3,ENSG00000141376,Gene Expression,GRCh38,618,680.0,BCAS3,618
YTHDF1,ENSG00000149658,Gene Expression,GRCh38,1109,1328.0,YTHDF1,1109
PON3,ENSG00000105852,Gene Expression,GRCh38,55,56.0,PON3,55
JADE3,ENSG00000102221,Gene Expression,GRCh38,1174,1461.0,JADE3,1174
KCNAB3,ENSG00000170049,Gene Expression,GRCh38,47,48.0,KCNAB3,47
SLC4A2,ENSG00000164889,Gene Expression,GRCh38,979,1188.0,SLC4A2,979
ACYP2,ENSG00000170634,Gene Expression,GRCh38,451,498.0,ACYP2,451
PDE2A,ENSG00000186642,Gene Expression,GRCh38,18,19.0,PDE2A,18
DPH7,ENSG00000148399,Gene Expression,GRCh38,628,713.0,DPH7,628
ZFAS1,ENSG00000177410,Gene Expression,GRCh38,5377,20277.0,ZFAS1,5377
SNRPE,ENSG00000182004,Gene Expression,GRCh38,3472,6686.0,SNRPE,3472
IRF6,ENSG00000117595,Gene Expression,GRCh38,906,1061.0,IRF6,906
LSM12,ENSG00000161654,Gene Expression,GRCh38,2975,5242.0,LSM12,2975
EPHB1,ENSG00000154928,Gene Expression,GRCh38,18,20.0,EPHB1,18
SEC61A2,ENSG00000065665,Gene Expression,GRCh38,200,213.0,SEC61A2,200
CCNI,ENSG00000118816,Gene Expression,GRCh38,4290,11979.0,CCNI,4290
SF1,ENSG00000168066,Gene Expression,GRCh38,2709,4113.0,SF1,2709
PLXNA3,ENSG00000130827,Gene Expression,GRCh38,1004,1235.0,PLXNA3,1004
CDC25B,ENSG00000101224,Gene Expression,GRCh38,149,158.0,CDC25B,149
TCAIM,ENSG00000179152,Gene Expression,GRCh38,474,519.0,TCAIM,474
RASSF8-AS1,ENSG00000246695,Gene Expression,GRCh38,432,478.0,RASSF8-AS1,432
TAF1A-AS1,ENSG00000225265,Gene Expression,GRCh38,27,27.0,TAF1A-AS1,27
GBA,ENSG00000177628,Gene Expression,GRCh38,1940,2841.0,GBA,1940
CPQ,ENSG00000104324,Gene Expression,GRCh38,37,38.0,CPQ,37
AC137590.1,ENSG00000257000,Gene Expression,GRCh38,3,3.0,AC137590.1,3
RNF8,ENSG00000112130,Gene Expression,GRCh38,778,914.0,RNF8,778
AC009948.1,ENSG00000223960,Gene Expression,GRCh38,237,252.0,AC009948.1,237
ATG4D,ENSG00000130734,Gene Expression,GRCh38,391,428.0,ATG4D,391
REL,ENSG00000162924,Gene Expression,GRCh38,2339,4029.0,REL,2339
DLK2,ENSG00000171462,Gene Expression,GRCh38,1093,1399.0,DLK2,1093
SOX15,ENSG00000129194,Gene Expression,GRCh38,369,485.0,SOX15,369
ALS2CL,ENSG00000178038,Gene Expression,GRCh38,1250,1642.0,ALS2CL,1250
ZNF131,ENSG00000172262,Gene Expression,GRCh38,1065,1349.0,ZNF131,1065
RPL7,ENSG00000147604,Gene Expression,GRCh38,7106,39096.0,RPL7,7106
R3HDM4,ENSG00000198858,Gene Expression,GRCh38,1823,2467.0,R3HDM4,1823
AC006504.5,ENSG00000267575,Gene Expression,GRCh38,16,17.0,AC006504.5,16
NEK5,ENSG00000197168,Gene Expression,GRCh38,103,107.0,NEK5,103
KLC3,ENSG00000104892,Gene Expression,GRCh38,31,32.0,KLC3,31
COX5A,ENSG00000178741,Gene Expression,GRCh38,3299,6888.0,COX5A,3299
FOXR1,ENSG00000176302,Gene Expression,GRCh38,7,7.0,FOXR1,7
CLTB,ENSG00000175416,Gene Expression,GRCh38,2894,5594.0,CLTB,2894
ABLIM2,ENSG00000163995,Gene Expression,GRCh38,14,16.0,ABLIM2,14
RYBP,ENSG00000163602,Gene Expression,GRCh38,4128,9268.0,RYBP,4128
ARHGDIB,ENSG00000111348,Gene Expression,GRCh38,6217,26347.0,ARHGDIB,6217
RAB19,ENSG00000146955,Gene Expression,GRCh38,7,7.0,RAB19,7
OR10D3,ENSG00000197309,Gene Expression,GRCh38,50,53.0,OR10D3,50
NLRC3,ENSG00000167984,Gene Expression,GRCh38,3,3.0,NLRC3,3
BDH2,ENSG00000164039,Gene Expression,GRCh38,560,609.0,BDH2,560
ATP6V1F,ENSG00000128524,Gene Expression,GRCh38,3044,5526.0,ATP6V1F,3044
ITGA1,ENSG00000213949,Gene Expression,GRCh38,2759,8663.0,ITGA1,2759
PITHD1,ENSG00000057757,Gene Expression,GRCh38,1448,1872.0,PITHD1,1448
AC007388.1,ENSG00000231312,Gene Expression,GRCh38,793,973.0,AC007388.1,793
PRKX,ENSG00000183943,Gene Expression,GRCh38,330,373.0,PRKX,330
MFF,ENSG00000168958,Gene Expression,GRCh38,1804,2462.0,MFF,1804
DMTN,ENSG00000158856,Gene Expression,GRCh38,18,18.0,DMTN,18
RASA1,ENSG00000145715,Gene Expression,GRCh38,5176,13134.0,RASA1,5176
CLDN14,ENSG00000159261,Gene Expression,GRCh38,28,30.0,CLDN14,28
ODC1,ENSG00000115758,Gene Expression,GRCh38,524,740.0,ODC1,524
BIN2,ENSG00000110934,Gene Expression,GRCh38,2987,4866.0,BIN2,2987
NRDC,ENSG00000078618,Gene Expression,GRCh38,2452,3712.0,NRDC,2452
DNMT3L,ENSG00000142182,Gene Expression,GRCh38,10,10.0,DNMT3L,10
SLC22A18,ENSG00000110628,Gene Expression,GRCh38,1242,1834.0,SLC22A18,1242
BPGM,ENSG00000172331,Gene Expression,GRCh38,1474,2400.0,BPGM,1474
METTL6,ENSG00000206562,Gene Expression,GRCh38,524,554.0,METTL6,524
FOXO1,ENSG00000150907,Gene Expression,GRCh38,241,272.0,FOXO1,241
GYG1,ENSG00000163754,Gene Expression,GRCh38,665,776.0,GYG1,665
DCX,ENSG00000077279,Gene Expression,GRCh38,3,3.0,DCX,3
JAZF1,ENSG00000153814,Gene Expression,GRCh38,420,526.0,JAZF1,420
SHKBP1,ENSG00000160410,Gene Expression,GRCh38,1031,1191.0,SHKBP1,1031
FZD4,ENSG00000174804,Gene Expression,GRCh38,33,36.0,FZD4,33
FUNDC2,ENSG00000165775,Gene Expression,GRCh38,1619,2230.0,FUNDC2,1619
GPER1,ENSG00000164850,Gene Expression,GRCh38,42,42.0,GPER1,42
PCBP2,ENSG00000197111,Gene Expression,GRCh38,5138,13672.0,PCBP2,5138
AC023906.3,ENSG00000259327,Gene Expression,GRCh38,17,17.0,AC023906.3,17
ALPK3,ENSG00000136383,Gene Expression,GRCh38,150,157.0,ALPK3,150
IER5L,ENSG00000188483,Gene Expression,GRCh38,1231,1595.0,IER5L,1231
AL138895.1,ENSG00000235119,Gene Expression,GRCh38,14,15.0,AL138895.1,14
RBMS2,ENSG00000076067,Gene Expression,GRCh38,1857,2396.0,RBMS2,1857
RPS6KA2,ENSG00000071242,Gene Expression,GRCh38,4,4.0,RPS6KA2,4
TM4SF1,ENSG00000169908,Gene Expression,GRCh38,34,36.0,TM4SF1,34
RPS10-NUDT3,ENSG00000270800,Gene Expression,GRCh38,7,7.0,RPS10-NUDT3,7
PDCD2,ENSG00000071994,Gene Expression,GRCh38,1276,1556.0,PDCD2,1276
GPATCH3,ENSG00000198746,Gene Expression,GRCh38,327,347.0,GPATCH3,327
ANK2,ENSG00000145362,Gene Expression,GRCh38,26,28.0,ANK2,26
LINC01615,ENSG00000223485,Gene Expression,GRCh38,37,38.0,LINC01615,37
ERMP1,ENSG00000099219,Gene Expression,GRCh38,671,758.0,ERMP1,671
ANXA13,ENSG00000104537,Gene Expression,GRCh38,3,3.0,ANXA13,3
